MAKE,MODEL,COLOR,YEAR,ODOMETER,STATE,SELLER,UNITS_SOLD,TOTAL_REVENUE,AVG_PRICE
Chevrolet,Avalanche,black,2011,93404,fl,remktgedge / cars / carfinance capital llc,1,14500,14500
Toyota,Camry,white,2014,12897,nj,hertz/tra,1,8000,8000
Mazda,Mazda5,Ã¢â‚¬â€,2013,55112,tn,the hertz corporation,1,11100,11100
Mercedes-Benz,M-Class,white,2009,110680,nv,national auto lenders inc,1,13250,13250
Ford,Focus,blue,2007,121400,nv,credit acceptance corp/vrs/southfield,1,1600,1600
Hyundai,Entourage,charcoal,2007,69715,pa,r hollenshead auto sales inc,1,6200,6200
Kia,Forte,black,2014,10708,wi,kia motors america  inc,1,12600,12600
Chevrolet,Cruze,white,2013,24016,mi,gm financial leasing,1,10800,10800
Jaguar,XF,black,2013,4365,ca,jaguar north america llc,1,24000,24000
Mercedes-Benz,C-Class,Ã¢â‚¬â€,2013,16264,wi,mercedes-benz financial services,1,26000,26000
Chevrolet,Impala,silver,2012,72237,fl,nicholas financial inc/clearwater,1,8100,8100
Infiniti,M,white,2012,30007,ca,nissan infiniti lt,1,25000,25000
Chevrolet,Malibu,gray,2011,104251,ca,remarketing by ge/manheim southern california,1,5200,5200
Nissan,Maxima,white,2011,37029,tx,nissan-infiniti lt,1,17400,17400
MINI,Cooper,white,2009,49052,ga,financial services remarketing (lease),1,8500,8500
Toyota,RAV4,white,2008,110043,fl,napleton's clermont chrysler jeep dodge,1,7000,7000
Hyundai,Azera,white,2006,137144,ma,clay nissan,1,3700,3700
,,red,2005,72533,wa,wells fargo dealer services,1,6200,6200
Chevrolet,Tahoe,black,2011,98588,wi,fiserv/usb dealer services northstar exchange,1,18900,18900
Chevrolet,Malibu,gray,2013,42586,il,fifth third bank,1,11400,11400
Dodge,Journey,gray,2012,26347,pa,carsense incorporated,1,13100,13100
Jeep,Patriot,silver,2011,39183,wi,wheels exchange llc,1,9800,9800
Pontiac,Torrent,silver,2006,121209,fl,nicholas financial inc/clearwater,1,3700,3700
Mercedes-Benz,E-Class,gray,2014,7099,ga,the hertz corporation,1,66000,66000
Toyota,Corolla,silver,2014,15970,ut,overland west,1,6500,6500
Volkswagen,Beetle,black,2014,28180,tx,enterprise vehicle exchange/dfw airport,1,13200,13200
Chevrolet,Sonic,gray,2013,39357,ca,the hertz corporation,1,9200,9200
Ford,Focus,black,2013,32955,pa,ford motor credit company llc,1,9100,9100
Ford,Fusion,silver,2013,22869,pa,ford motor credit company llc,1,14700,14700
Ford,Edge,Ã¢â‚¬â€,2013,20479,fl,ford motor credit company llc pd,1,23100,23100
Ford,Focus,gray,2013,41276,pa,merchants automotive group,1,7800,7800
Dodge,Nitro,silver,2011,54699,tn,bob frensley chrysler plymouth inc,1,13200,13200
Kia,Sorento,gray,2011,43613,ga,edward colosimo auto sales,1,13300,13300
Chevrolet,Suburban,black,2010,95027,mi,stratford hyundai,1,17600,17600
Chevrolet,Impala,black,2010,85406,tx,westfall auto sales,1,8300,8300
Honda,Odyssey,blue,2009,94113,pa,on trac auto sales,1,12000,12000
Chrysler,300,gray,2006,104246,ga,ed voyles chrysler jeep inc,1,9200,9200
Hyundai,Tiburon,blue,2006,77508,ga,tdaf remarketing,1,4400,4400
Chevrolet,Cavalier,white,2005,149425,md,credit acceptance corp/vrs/southfield,1,225,225
Toyota,Corolla,silver,2005,180835,pa,h kulp inc,1,3800,3800
Chevrolet,Tahoe,black,2004,214737,il,first investors servicing corp,1,2600,2600
Kia,Optima,black,2002,104372,tn,beaman dodge chrysler jeep ram,1,500,500
Chevrolet,Volt,Ã¢â‚¬â€,2012,46653,pa,ge fleet services for itself/servicer,1,12400,12400
Mercedes-Benz,C-Class,black,2011,62978,fl,mercedes-benz financial services,1,14600,14600
FIAT,500L,gray,2014,13909,fl,hertz corporation/gdp,1,11800,11800
Hyundai,Elantra,white,2013,27175,fl,hyundai motor finance,1,12300,12300
Mercedes-Benz,GLK-Class,gray,2013,42341,fl,the hertz corporation,1,26200,26200
Chrysler,300,black,2012,47322,fl,remarketing by ge/nextgear capital,1,15900,15900
GMC,Sierra 1500,white,2012,37918,tx,rlb investments,1,31500,31500
Nissan,Altima,white,2012,49074,ga,nissan-infiniti lt,1,14000,14000
Volkswagen,Passat,gray,2012,57540,ga,vw credit  inc/pilot,1,10500,10500
Ford,F-250 Super Duty,white,2011,100252,tx,pm standley motorcars,1,32500,32500
BMW,5 Series,black,2007,117705,ga,georgia's own credit union,1,6400,6400
Ford,Explorer,gray,2006,157311,ca,j m auto imports corp,1,4300,4300
Buick,Rendezvous,silver,2005,116645,fl,remarketing by ge/manheim orlando,1,4300,4300
Chevrolet,TrailBlazer,silver,2005,81551,ga,cameron motor sports,1,5600,5600
Hyundai,Accent,brown,2014,24240,in,enterprise vehicle exchange / tra / rental / tulsa,1,8000,8000
Toyota,4Runner,gray,2014,34255,nv,ez rent a car/orlando,1,28500,28500
Audi,Q7,white,2013,60303,fl,the collection,1,30600,30600
Chevrolet,Malibu,gray,2013,53471,nc,the hertz corporation,1,12301,12301
Kia,Sportage,silver,2011,22633,ny,j zap llc,1,17800,17800
Mercedes-Benz,C-Class,white,2010,60515,fl,suncoast credit corporation,1,16400,16400
Jeep,Liberty,brown,2006,98512,tx,veros credit,1,4500,4500
Mercedes-Benz,M-Class,gold,2006,107262,tx,mike motors,1,8500,8500
Chrysler,PT Cruiser,blue,2004,124334,nc,dt credit corporation,1,1300,1300
Chrysler,200,black,2012,69955,tn,santander consumer,1,8400,8400
Mazda,Mazda6,black,2012,66976,fl,jpmorgan chase bank n.a.,1,9000,9000
Chrysler,300,black,2008,67670,sc,dab auto world & leasing,1,12600,12600
GMC,Acadia,white,2008,95734,ga,town & country motors ii,1,12100,12100
Nissan,Murano,gold,2007,112480,nv,unique autos,1,7800,7800
Ford,Explorer,white,2006,100334,tx,dt credit corporation,1,7800,7800
MINI,Cooper,gray,2006,86119,az,larry h miller toyota peoria,1,7400,7400
Mitsubishi,Galant,black,2006,92255,oh,wells fargo dealer services,1,3500,3500
,,black,2004,191817,va,primeritus remarketing / chesterfield impor,1,3400,3400
Dodge,Avenger,black,2014,24838,tn,chrysler capital,1,12200,12200
GMC,Envoy XL,purple,2006,79590,fl,brandon volkswagen,1,7600,7600
Honda,Odyssey,blue,2006,100197,fl,ed morse auto plaza,1,6600,6600
Infiniti,M45,Ã¢â‚¬â€,2006,101437,mo,electro savings credit union,1,8400,8400
Hyundai,Elantra,silver,2006,114170,pa,j magnone auto group llc,1,1100,1100
Jaguar,X-Type,green,2006,75426,oh,wells fargo dealer services,1,2500,2500
Hyundai,Azera,blue,2006,146715,nc,primeritus remarketing/crescent bank & trust,1,2200,2200
Honda,Pilot,burgundy,2014,15008,ga,american honda motor company,1,32200,32200
GMC,Sierra 2500HD,black,2014,87222,mi,kevins marysville auto sales inc,1,32500,32500
Kia,Sedona,white,2006,136044,fl,fiserv/crescent bank & trust,1,1800,1800
Kia,Sorento,silver,2006,79114,fl,ferco motors corp,1,5500,5500
Lincoln,LS,gold,2006,101419,il,chignoli auto sales inc,1,4800,4800
Lexus,ES 330,silver,2006,190464,az,yates buick gmc inc,1,4200,4200
Nissan,Sentra,silver,2006,64808,fl,ferco motors corp,1,5200,5200
Pontiac,Grand Prix,beige,2006,131911,nv,lobel financial corp,1,3100,3100
Subaru,B9 Tribeca,blue,2006,107444,fl,onemain rem/miami auto world llc,1,5800,5800
porsche,911,black,2006,71711,ga,rick hendrick chevrolet,1,30400,30400
Subaru,Outback,green,2006,159634,nj,lester glenn buick,1,3800,3800
Toyota,Avalon,gray,2006,134131,va,shirlie slack mitsubishi,1,7400,7400
BMW,X3,silver,2005,196212,ga,titlemax/covington ga1,1,3500,3500
BMW,5 Series,blue,2005,203292,nc,richmond bmw,1,4050,4050
Buick,LaCrosse,silver,2005,128964,tx,ford-lincoln dealer program,1,3500,3500
Chevrolet,Suburban,gray,2005,67730,sc,automaxx of summerville,1,9100,9100
Chevrolet,Corvette,blue,2005,106483,fl,parks lincoln of tampa,1,13100,13100
Chevrolet,Silverado 2500HD,green,2005,192955,tx,autonation ford burleson,1,8000,8000
Chevrolet,Impala,red,2005,72496,ga,wells fargo dealer services,1,2800,2800
chrysler,pacifica,burgundy,2005,107640,sc,five star florence llc,1,3000,3000
Dodge,Dakota,silver,2005,89362,nj,lilliston enterprises inc,1,6300,6300
ford,explorer,gray,2005,141818,pa,hertz remarketing,1,4200,4200
GMC,Envoy XL,gray,2005,86007,il,al piemonte arlington heights ford inc,1,6400,6400
Honda,Civic,gray,2005,85993,fl,arrigo dodge chrysler jeep ram sawgrass,1,3200,3200
GMC,Sierra 2500HD,silver,2005,152495,pa,ingersoll auto of danbury,1,15000,15000
Mazda,Tribute,silver,2005,51302,nv,titlemax/las vegas nv22,1,5500,5500
Infiniti,Q50,gray,2014,4593,tn,nissan north america inc.,1,35000,35000
Infiniti,Q60 Convertible,Ã¢â‚¬â€,2014,9942,tn,nissan north america inc.,1,36800,36800
Nissan,Altima,green,2005,136710,mi,southfield chrysler dodge jeep ram,1,2350,2350
Nissan,Maxima,gray,2005,135791,mn,university auto sales,1,2400,2400
Lexus,LS 460,gray,2009,59518,tx,motorcars of south texas,1,26000,26000
Chevrolet,Tahoe,silver,2015,21727,tx,music city autoplex llc,1,51500,51500
,,white,2014,10432,ab,fca canada inc,1,17700,17700
Dodge,Ram Pickup 1500,silver,2010,102690,tx,lawler motor sports inc,1,14500,14500
Honda,CR-V,silver,2008,147779,co,hertz remarketing,1,8400,8400
Chevrolet,TrailBlazer,gray,2006,177604,fl,mercedes benz of tampa,1,2300,2300
Ford,Ranger,black,2006,65772,pa,richards motorcars inc,1,8400,8400
Mazda,Mazda6,gray,2005,79174,ne,elwood auto sales,1,6200,6200
GMC,Yukon,white,2004,88715,co,wells fargo dealer services,1,5000,5000
Jeep,Grand Cherokee,blue,2002,1,nc,michael wayne investments,1,800,800
Infiniti,QX70,Ã¢â‚¬â€,2014,13057,fl,nissan north america inc.,1,36000,36000
Jeep,Patriot,gray,2014,36386,sc,enterprise veh exchange/rental,1,12700,12700
Lincoln,MKX,red,2014,28182,tn,ford motor credit company,1,33900,33900
Ford,Escape,blue,2012,71673,ca,m/r motors inc,1,14800,14800
Lexus,HS 250h,red,2012,24330,ca,toyota motor sales/lexus,1,23250,23250
Nissan,Maxima,brown,2012,44978,nj,consolidated asset recovery systems  inc.,1,14800,14800
Chevrolet,Tahoe,black,2011,96542,pa,bob johnson 390 chevrolet inc,1,27100,27100
Ford,Escape,blue,2009,127590,ab,dcm sales ltd,1,8400,8400
Mercedes-Benz,SL-Class,white,2014,7527,ca,high bid trading co inc,1,83500,83500
Ford,Edge,Ã¢â‚¬â€,2013,23798,tn,ford motor credit company llc,1,24200,24200
Lexus,IS 250,black,2013,17827,ca,calstar motors inc,1,25250,25250
Ford,Fusion,Ã¢â‚¬â€,2012,82849,wi,ge fleet services for itself/servicer,1,9500,9500
Honda,CR-V,blue,2012,12232,pa,ahfc/honda lease trust/hvt  inc.,1,18300,18300
Kia,Sportage,black,2012,33564,fl,regional acceptance corporation / greenville,1,12300,12300
Toyota,Yaris,green,2012,17753,pr,rafael morales,1,9700,9700
Toyota,Avalon,gray,2011,35729,ga,lagrange toyota inc,1,19800,19800
Toyota,Corolla,red,2010,75522,wi,cedar rapids toyota inc,1,8800,8800
BMW,5 Series,black,2009,72810,oh,midwestern auto group,1,14300,14300
Hyundai,Azera,gray,2006,112962,ga,chase automotive,1,4500,4500
Hyundai,Santa Fe,red,2004,177186,fl,courtesy hyundai,1,800,800
Chevrolet,Tahoe,gray,2015,19514,nc,enterprise veh exchange/rental,1,44200,44200
Dodge,Journey,black,2013,39832,tn,avis corporation,1,16400,16400
Nissan,Rogue,gray,2011,51785,fl,gm financial,1,11700,11700
,,gray,2006,119828,va,mcmb financial,1,7600,7600
Chevrolet,Equinox,gray,2012,64701,pa,fomoco corp,1,16000,16000
Nissan,Altima,silver,2002,170915,fl,coggin honda,1,1800,1800
Subaru,Outback,black,2009,91822,ga,innovative auto llc,1,11800,11800
Dodge,Charger,red,2008,58351,mi,jepson car co llc,1,9600,9600
Dodge,Dakota,black,2007,128123,nc,atlantic coast remarketing inc/ia,1,8700,8700
Dodge,Nitro,silver,2007,99499,il,santander consumer,1,8200,8200
Audi,A3,white,2006,54567,fl,the collection,1,9800,9800
Ford,Mustang,silver,2005,64155,il,ford-lincoln dealer program,1,6300,6300
Volvo,XC70,blue,2005,135853,pa,r hollenshead auto sales inc,1,2500,2500
,,gold,2004,82811,fl,expert auto group inc,1,2100,2100
Nissan,Murano,white,2004,103915,fl,coggin nissan at the avenues,1,6200,6200
Honda,CR-V,blue,2000,76563,pa,autocelli inc,1,5700,5700
Scion,tC,gray,2014,18118,pa,mehdis car company,1,15400,15400
Subaru,Outback,blue,2014,17412,fl,subaru of america,1,22200,22200
Ford,Ranger,black,2003,139000,ca,premium auto wholesale,1,5800,5800
Nissan,Versa,blue,2012,22853,ga,capital one auto finance,1,7500,7500
Chevrolet,Impala Limited,gray,2014,21823,fl,gm remarketing,1,14600,14600
Toyota,Corolla,red,2013,47892,nv,avis corporation,1,12500,12500
Nissan,Murano,white,2014,1112,fl,nissan motor acceptance corporation,1,23800,23800
Honda,CR-V,red,2007,67900,oh,exceptional motorcar llc,1,13800,13800
Honda,Pilot,gray,2003,236213,nc,infiniti of charlotte,1,2600,2600
BMW,3 Series,white,2013,38964,fl,avis corporation,1,23800,23800
Ford,Edge,silver,2012,31394,ga,edward colosimo auto sales,1,20000,20000
Nissan,Titan,white,2010,57302,mo,derby hill equipment,1,19800,19800
Chevrolet,Sonic,silver,2014,33593,ga,international auto group inc,1,9400,9400
Chevrolet,Malibu,blue,2005,128019,md,ourisman of clarksville inc,1,2400,2400
Nissan,Maxima,beige,1995,265466,ms,select remarketing group llc/midwest title loans,1,200,200
Ford,Ranger,white,2011,213368,il,walser leasing,1,3100,3100
BMW,7 Series,black,2012,20792,ga,financial services remarketing (lease),1,35000,35000
Chevrolet,Suburban,black,2007,109488,co,carfinders inc,1,4000,4000
,,beige,2012,25403,ca,financial services remarketing (lease),1,40000,40000
Chevrolet,Cruze,blue,2014,35771,ca,avis corporation,1,13400,13400
Chrysler,300,gray,2014,29782,fl,avis corporation,1,18700,18700
BMW,X3,black,2011,64656,nj,northway automotive inc,1,21500,21500
Ford,Fusion,silver,2013,54960,co,fox rent a car,1,11500,11500
Mazda,CX-9,gray,2014,33299,wi,avis corporation,1,22100,22100
Nissan,Rogue,silver,2012,32430,tx,nissan-infiniti lt,1,12400,12400
Dodge,Nitro,gray,2011,5142,il,wells fargo dealer services,1,13600,13600
Chevrolet,Captiva Sport,white,2014,30836,fl,gm remarketing,1,15700,15700
Mercedes-Benz,GL-Class,gray,2013,49521,pa,mercedes-benz/hertz wholesale advantage,1,39750,39750
Volvo,XC60,black,2015,20541,ca,volvo na rep/world omni,1,28500,28500
Ford,Focus,red,2012,18690,fl,ford motor credit company llc,1,9100,9100
Ford,F-150,gray,2010,82401,oh,suzuki of newmarket,1,16500,16500
Ford,F-150,red,2014,10562,fl,tdaf remarketing,1,27600,27600
Nissan,Altima,Ã¢â‚¬â€,2012,28762,tn,nissan-infiniti lt,1,10800,10800
Dodge,Challenger,black,2015,667,sc,enterprise vehicle exchange / tra / rental / tulsa,1,19000,19000
Kia,Optima,Ã¢â‚¬â€,2012,29576,fl,kia motors finance,1,13300,13300
Nissan,Altima,white,2014,31620,pa,avis corporation,1,12900,12900
Toyota,Camry,silver,2013,50623,il,the hertz corporation,1,12600,12600
Audi,A4,black,2005,81404,pa,autocelli inc,1,6900,6900
Ford,Fusion,Ã¢â‚¬â€,2014,16677,nj,lease plan usa,1,15900,15900
Toyota,Tacoma,green,2011,26478,pr,toyota credit de puerto rico,1,22300,22300
BMW,X1,black,2013,60999,nj,ari,1,20900,20900
Ford,Fusion,silver,2012,61453,tx,dtg operations inc,1,10400,10400
Honda,Civic,silver,2012,21983,il,ahfc/honda lease trust/hvt  inc. eot,1,10200,10200
Honda,Accord,gray,2012,40030,il,ahfc/honda lease trust/hvt  inc. eot,1,13200,13200
Jeep,Wrangler,orange,2012,41154,on,oakville chrysler dodge jeep ram,1,25300,25300
Nissan,Altima,gray,2012,18961,pa,nissan-infiniti lt,1,13400,13400
Nissan,Altima,black,2012,31237,fl,nissan-infiniti lt,1,9700,9700
Dodge,Avenger,white,2011,52279,mo,exeter finance corp,1,10500,10500
Ford,Explorer,gray,2013,105263,oh,nation wide auto sales llc,1,18600,18600
Mercedes-Benz,E-Class,black,2013,20461,ga,mercedes-benz financial services,1,30000,30000
Volkswagen,Jetta,white,2013,39468,ca,avis corporation,1,11700,11700
Ford,Fusion,gray,2012,67236,fl,the hertz corporation,1,9900,9900
Lincoln,MKZ,red,2012,34506,il,ford motor credit company llc,1,14300,14300
Infiniti,G Sedan,gray,2011,29761,pa,nissan infiniti lt,1,18000,18000
,,white,2011,70416,fl,santander consumer,1,7700,7700
Nissan,Altima,Ã¢â‚¬â€,2011,56851,tn,nissan-infiniti lt,1,10200,10200
Chevrolet,Silverado 1500,red,2010,56783,fl,suntrust bank,1,21800,21800
Mazda,Mazda3,black,2010,82679,ga,nalley nissan decatur,1,9400,9400
Toyota,Highlander,black,2010,116456,fl,westfall auto sales,1,11800,11800
Chevrolet,Silverado 1500,black,2009,106749,oh,159191 canada inc,1,15900,15900
Ford,Escape,gray,2009,161012,fl,westfall auto sales,1,6100,6100
Land Rover,Range Rover,white,2009,83794,fl,dab auto world & leasing,1,29000,29000
Chrysler,Sebring,black,2008,81587,il,wells fargo dealer services,1,5400,5400
Chrysler,Sebring,blue,2008,99334,il,santander consumer,1,5100,5100
Dodge,Charger,red,2008,172303,tx,regional acceptance corporation / greensboro,1,3300,3300
Ford,F-450 Super Duty,white,2008,76323,tx,j & j auto & truck sales,1,28200,28200
Pontiac,Solstice,white,2008,66214,co,wells fargo dealer services,1,5000,5000
Hyundai,Elantra,silver,2007,128778,il,hertz remarketing,1,3000,3000
Ford,Five Hundred,silver,2006,127292,md,santander consumer,1,950,950
Ford,Mustang,red,2006,88674,tx,dt credit corporation,1,4000,4000
Chevrolet,Colorado,white,2005,166930,la,lease plan usa,1,1800,1800
Dodge,Ram Pickup 2500,gray,2005,141579,nc,crossroads ford inc,1,8400,8400
Ford,Escape,black,2005,103660,pa,dt credit corporation,1,2550,2550
,,white,2005,172296,nj,holman infiniti,1,6000,6000
Mazda,Mazda6,silver,2004,159879,ga,don jackson chrysler dodge jeep,1,2300,2300
Honda,Accord,silver,2001,188397,ca,credit acceptance corp/vrs/southfield,1,2500,2500
Chevrolet,Tahoe,white,2000,281947,ga,hennessy mazda buick gmc,1,2400,2400
Ford,F-150,white,2014,11504,or,u-haul,1,16700,16700
Ford,F-250 Super Duty,silver,2015,25759,ga,ars/enterprise,1,38900,38900
Ford,Focus,red,2014,36389,mn,ars/avis budget group,1,11600,11600
Toyota,Corolla,white,2014,3233,ga,world omni financial corporation,1,14700,14700
Ford,Fusion,black,2013,25043,mi,ford motor credit company llc,1,12500,12500
Ford,Fusion,red,2013,12706,ny,ford motor credit company llc,1,14100,14100
Honda,Civic,gray,2013,38982,ca,remarketing by ge/xpress rent a car,1,13750,13750
Honda,Pilot,gray,2013,34903,oh,jr's auto city inc,1,27600,27600
Infiniti,G Sedan,white,2013,4650,il,nissan infiniti lt,1,23600,23600
Kia,Forte,black,2013,51632,fl,remarketing by ge/north american fleet sales inc,1,8000,8000
Infiniti,M,black,2013,11314,nj,nissan infiniti lt,1,28000,28000
Kia,Optima,white,2013,42710,ga,ford-lincoln dealer program,1,15400,15400
,,white,2006,106280,ca,high bid trading co inc,1,14400,14400
Volkswagen,GTI,silver,2005,70186,ca,pacific porsche,1,4700,4700
Lexus,IS 250,gray,2012,47391,ca,lexus financial services,1,21700,21700
Ford,Fusion,gray,2013,56521,co,fox rent a car,1,12100,12100
Kia,Soul,red,2013,509,nv,kia motors america  inc/company cars,1,17100,17100
FIAT,500,white,2012,47198,pa,street visions inc,1,7200,7200
Jeep,Grand Cherokee,black,2012,40402,tn,sullivan auto group llc,1,24800,24800
Nissan,Murano,white,2011,38631,co,ralph schomp honda,1,19600,19600
,,gold,2008,226225,ab,go auto finance,1,2000,2000
Mercedes-Benz,E-Class,white,2007,161616,nc,cadillac of south charlotte,1,8700,8700
Mercedes-Benz,S-Class,gray,2007,99148,nj,valley auto llc,1,17300,17300
BMW,3 Series,silver,2006,111857,fl,d&a fine cars,1,7000,7000
Dodge,Dakota,blue,2006,113617,oh,pat o'brien chevrolet,1,5900,5900
Dodge,Stratus,blue,2005,154896,fl,southern auto finance co/safco/ft lauderdale,1,1100,1100
Ford,Taurus,silver,2004,145532,tx,select remarketing group llc/midwest title loans,1,1000,1000
,,white,2003,112824,fl,broward county sheriffs office,1,300,300
Toyota,Highlander,blue,2002,151493,md,jim coleman cadillac infiniti,1,5200,5200
Ford,Fusion,gray,2014,16893,il,avis budget group,1,17200,17200
Kia,Sorento,black,2014,19194,fl,first investors servicing corp,1,17400,17400
Chevrolet,Cruze,silver,2013,56675,co,fox rent a car,1,10500,10500
Toyota,Sienna,red,2013,67594,nv,the hertz corporation,1,16800,16800
Chevrolet,Suburban,gray,2004,140365,ca,pacoima motors,1,3900,3900
Chrysler,300,black,2006,128771,ma,durfee street auto sales inc,1,4000,4000
Saturn,Aura,white,2007,105872,nj,nicholas financial inc/clearwater,1,5200,5200
Nissan,Murano,burgundy,2013,32139,ca,avis corporation,1,17400,17400
Toyota,Camry,gray,2013,32736,fl,ez rent a car inc,1,14100,14100
Chrysler,200,white,2015,17663,tx,santander consumer,1,16100,16100
Hyundai,Accent,silver,2014,12409,fl,hyundai motor america/co car,1,11900,11900
Hyundai,Equus,black,2014,2543,fl,hyundai motor america/co car,1,47500,47500
Infiniti,Q50,red,2014,16766,ca,nissan infiniti lt,1,25000,25000
Ram,2500,gray,2014,8595,ca,barco rent a truck,1,45250,45250
Volvo,S40,black,2009,123880,oh,dt credit corporation,1,2700,2700
Cadillac,STS,blue,2007,157460,oh,dt credit corporation,1,1900,1900
Ford,Flex,white,2013,47511,ca,ford motor credit company llc pd,1,21900,21900
Hyundai,Sonata Hybrid,white,2013,45666,sc,enterprise veh exchange/rental,1,12900,12900
Acura,TSX,burgundy,2012,23477,nc,medlin buick gmc mazda,1,18000,18000
Chevrolet,Cruze,silver,2012,138498,mn,southgate leasing corp,1,6000,6000
Ford,Fusion,gray,2012,69390,tn,wholesale inc # 2,1,11750,11750
Nissan,Altima,off-white,2012,103312,sc,lease plan usa,1,8800,8800
Chevrolet,Impala Limited,gray,2014,16693,ne,enterprise vehicle exchange/davenport,1,13800,13800
Nissan,Versa,blue,2011,33479,fl,johnson lexus of raleigh,1,9000,9000
Chrysler,Town and Country,white,2014,9159,fl,stingray chevrolet,1,25700,25700
Dodge,Charger,silver,2006,128416,ca,toyota santa monica,1,8200,8200
Ford,Explorer,gold,2006,77964,mi,kevins marysville auto sales inc,1,7200,7200
Nissan,Altima,white,2011,51395,fl,nissan motor acceptance corporation,1,11000,11000
BMW,X5,black,2008,99857,fl,audi pembroke pines,1,15100,15100
Dodge,Grand Caravan,white,2011,88889,ca,ge fleet services for itself/servicer,1,8200,8200
Dodge,Nitro,gray,2011,60514,pr,scotiabank de puerto rico,1,8900,8900
Chevrolet,Traverse,gray,2009,93894,pa,kly international,1,9700,9700
Jeep,Patriot,blue,2008,120626,mo,laclede gas,1,4600,4600
Dodge,Grand Caravan,blue,2007,99734,mi,jpmorgan chase bank n.a.,1,3600,3600
Mitsubishi,Eclipse,orange,2007,81213,tx,santander consumer,1,5200,5200
Nissan,Sentra,black,2004,210981,nc,auction direct usa raleigh llc,1,400,400
Infiniti,Q50,white,2014,11540,ca,nissan infiniti lt,1,27250,27250
Ford,Focus,gray,2012,26708,mo,ford motor credit company llc,1,10600,10600
Chrysler,Sebring,red,2008,175781,fl,repo remarketing/first commerce credit union,1,1700,1700
Infiniti,G Sedan,gray,2012,27584,wa,nissan infiniti lt,1,17000,17000
Chevrolet,Corvette,black,2008,48600,fl,tdaf remarketing,1,30200,30200
Lexus,IS 250,black,2008,70281,az,mountain america credit union,1,5500,5500
Mercury,Milan,green,2006,110842,ga,navy fcu,1,3200,3200
,,silver,2005,110827,nc,north state acceptance,1,3300,3300
Ford,Mustang,black,2004,121504,ca,wells fargo dealer services,1,800,800
Dodge,Avenger,red,2014,31571,mo,avis corporation,1,12100,12100
Honda,Accord,black,2002,225499,sc,hendrick honda of charleston,1,2300,2300
Cadillac,DeVille,white,2001,204253,ga,bellamy strickland chev gmc,1,1200,1200
Pontiac,Grand Prix,brown,2000,100872,ga,tdaf remarketing,1,1400,1400
Oldsmobile,Alero,silver,1999,90735,mn,floorplan xpress llc,1,1300,1300
Geo,Prizm,white,1996,151807,pa,purple heart,1,400,400
,,blue,1996,136603,nc,hendrick lexus,1,1300,1300
Nissan,Sentra,silver,2014,28975,fl,american fleet leasing,1,10400,10400
Mercedes-Benz,C-Class,silver,2012,70007,fl,mercedes-benz financial services,1,17800,17800
GMC,Yukon XL,white,2006,75614,fl,summer enterprises of miami inc,1,12500,12500
GMC,Sierra 1500,gray,2013,24045,ga,young motors llc,1,26600,26600
Infiniti,G Coupe,gray,2013,8056,tn,nissan infiniti lt,1,25400,25400
Toyota,Camry,black,2013,7309,fl,ideal lease,1,15800,15800
Ford,Focus,blue,2012,20866,pa,day ford inc,1,10500,10500
Lincoln,MKX,black,2012,49879,tx,music city autoplex llc,1,21400,21400
Nissan,Versa,gray,2012,33485,fl,caprock auto remarketing,1,7700,7700
Hyundai,Sonata,black,2011,57551,ga,cameron motor sports,1,12200,12200
Infiniti,G Sedan,gray,2011,30666,tn,nissan infiniti lt,1,16000,16000
Chevrolet,Suburban,black,2010,95036,nv,sti remarketing,1,17000,17000
Hyundai,Elantra,white,2010,76421,ga,cameron motor sports,1,6500,6500
Toyota,RAV4,gray,2010,73091,fl,fifth third bank,1,10200,10200
Mercedes-Benz,E-Class,white,2008,63693,pa,r hollenshead auto sales inc,1,14700,14700
Cadillac,Escalade,gold,2007,103843,nv,cars direct inc,1,16400,16400
Chevrolet,Impala,red,2007,50596,pa,adcock brothers inc,1,11000,11000
Dodge,Grand Caravan,silver,2007,92516,az,honor finance corporation,1,3000,3000
Ford,Edge,gray,2007,129186,mn,northstar ford,1,7700,7700
Lexus,IS 250,black,2007,96002,wa,exotic motors imports  llc,1,12700,12700
Volkswagen,GTI,silver,2006,102680,fl,wells fargo dealer services,1,3900,3900
Chrysler,200,gray,2015,7477,tx,tdaf remarketing,1,17000,17000
Lincoln,Aviator,gray,2003,120302,ny,credit acceptance corp/vrs/southfield,1,2750,2750
Nissan,Xterra,gray,2003,227593,ca,bob baker toyota of lemon grove,1,1800,1800
Hyundai,Genesis,gray,2015,9544,ca,i auto sales inc,1,32000,32000
Chevrolet,Suburban,gold,2013,63643,fl,the hertz corporation,1,31000,31000
Dodge,Journey,red,2013,45945,az,avis corporation,1,14300,14300
Ford,Escape,black,2013,41206,tn,wholesale inc # 2,1,14750,14750
Ford,Fusion,silver,2013,11550,il,ford motor credit company llc,1,14300,14300
Chevrolet,Equinox,black,2014,11576,va,gm financial,1,20300,20300
Chevrolet,Malibu,burgundy,2015,1281,va,gm financial,1,18200,18200
Ford,Fusion Energi,red,2015,12693,ga,ford motor credit company,1,24900,24900
Chevrolet,Silverado 1500,white,2013,25933,ga,bmw alphera/alphera financial services,1,23800,23800
Hyundai,Elantra,white,2013,44315,fl,enterprise veh exchange/rental,1,11500,11500
Toyota,Corolla,gray,2013,45634,mo,bob's rentals inc/avis systems licensee,1,11100,11100
